codTrafo,dirTrafo,latTrafo,lngTrafo,potencia,potenciaDisponible,potenciaSoliAprobadas,potenciaNeta,demandaEnergiaUno,energiaEntregarHora,energiaDisponible,pctPotencia,pctEnergia,fases,codCircuito,circuito,codSubE,codBarrio,codCiudad,codPropietario,formTrafo,nodoTrafo,codTrafoDis,codigoTipoApoyo,demandaEnergiaDos,energiaEntregarHoraPico
P6112,RLA CAMILA                    0,3.247662,-76.451293,15,7.5,0,7.5,5.27,0,5.27,0.0,0.0,2,22 302,2,22 ,001,01,P,NIVELII,5074789,13162,01,5.27,0
P1092,R HDA VENECIA                 0,3.24205,-76.478201,30,15.0,0,15.0,10.55,0,10.55,0.0,0.0,2,22 302,2,22 ,001,01,P,NIVELII,1258125,13063,01,10.55,0
E3795,CRA 21 N? 21-02,3.233389,-76.421857,112.5,56.25,0,56.25,54.79,0,54.79,0.0,0.0,3,22 301,1,22 ,001,01,E,NIVELII,1147170,10416,01,54.79,0
P13527,RVDA SAN SANLOS -GALLINAS LA CAMPEONA RICO POLLO 2,3.241038,-76.4421,800,400.0,0,400.0,281.25,0,281.25,0.0,0.0,3,22 302,2,22 ,001,01,P,,2360080,25554,07,281.25,0
P13659,C017       019      014                          2,3.230411,-76.419372,75,37.5,0,37.5,36.53,0,36.53,0.0,0.0,3,22 301,1,22 ,001,01,P,NIVELII,6452485,25840,01,36.53,0
E17643,CALLE 16 N? 8A- 27,3.231533,-76.410773,225,112.5,0,112.5,109.58,0,109.58,0.0,0.0,3,22 301,1,22 ,001,01,E,NIVELII,1147994,21473,02,109.58,0
P9374,K018       015      051                          2,3.229577,-76.41812,75,37.5,0,37.5,36.53,0,36.53,0.0,0.0,3,22 301,1,22 ,001,01,P,NIVELII,1147455,10453,01,36.53,0
E16696,CRA 23 N? 10-11,3.225035,-76.420864,150,75.0,0,75.0,73.06,0,73.06,0.0,0.0,3,22 301,1,22 ,001,01,E,NIVELII,1235079,22225,02,73.06,0
E3780,K018       016      021                          2,3.229944,-76.41821,75,37.5,0,37.5,36.53,0,36.53,0.0,0.0,2,22 301,1,22 ,001,01,E,NIVELII,1147447,10452,01,36.53,0
E4499,CRA 12 N? 18-62,3.233354,-76.413798,75,37.5,0,37.5,36.53,0,36.53,0.0,0.0,2,22 301,1,22 ,001,01,E,NIVELII,1147927,26020,01,36.53,0
E16035,CALLE 15 CRA 18,3.229033,-76.41788,75,37.5,0,37.5,36.53,0,36.53,0.0,0.0,2,22 301,1,22 ,001,01,E,NIVELII,1147480,26142,01,36.53,0
E15747,CRA 19 N? 25-19,3.236622,-76.420819,112.5,56.25,0,56.25,54.79,0,54.79,0.0,0.0,3,22 301,1,22 ,001,01,E,NIVELII,5122091,17324,01,54.79,0
E16856,C019       018      058                          2,3.232171,-76.419435,75,37.5,0,37.5,36.53,0,36.53,0.0,0.0,2,22 301,1,22 ,001,01,E,NIVELII,1151321,20697,01,36.53,0
E13929,K016       015      058                          2,3.230021,-76.416458,75,37.5,0,37.5,36.53,0,36.53,0.0,0.0,3,22 301,1,22 ,001,01,E,NIVELII,1148010,10469,01,36.53,0
P11973,K 20        20C      09                          2,3.233102,-76.42082,150,75.0,0,75.0,73.06,0,73.06,0.0,0.0,3,22 301,1,22 ,001,01,P,,2005140,21618,01,73.06,0
P9353,CRA 26 FUNDACION PROPAL,3.227059,-76.422662,15,7.5,0,7.5,7.31,0,7.31,0.0,0.0,2,22 301,1,22 ,001,01,P,NIVELII,1145924,10408,01,7.31,0
E10548,CRA 20 N? 17-38,3.230519,-76.420128,112.5,56.25,0,56.25,54.79,0,54.79,0.0,0.0,3,22 301,1,22 ,001,01,E,NIVELII,5300894,9024,01,54.79,0
P9406,R HDA LA CAMILA               0,3.247563,-76.449952,25,12.5,0,12.5,8.79,0,8.79,0.0,0.0,2,22 302,2,22 ,001,01,P,NIVELII,1145673,13166,01,8.79,0
E14075,CRA 21 N?25A -21,3.236504,-76.42261,112.5,56.25,0,56.25,54.79,0,54.79,0.0,0.0,3,22 301,1,22 ,001,01,E,NIVELII,5281300,10425,01,54.79,0
E7045,CRA 22 N? 2BIS-51,3.220935,-76.421509,150,75.0,0,75.0,73.06,0,73.06,0.0,0.0,3,22 301,1,22 ,001,01,E,NIVELII,5292689,10407,02,73.06,0
P4863,AGROMEZCLAS,3.243888,-76.427475,250,125.0,0,125.0,87.89,0,87.89,0.0,0.0,3,22 302,2,22 ,001,01,P,NIVELII,5128714,10519,02,87.89,0
E20620,CALLE 15 N? 19-83,3.228193,-76.419394,112.5,56.25,0,56.25,54.79,0,54.79,0.0,0.0,3,22 301,1,22 ,001,01,2,NIVELII,5299845,27911,01,54.79,0
P13079,R VIVERO LOS BANCOS                              2,3.220905,-76.415649,75,37.5,0,37.5,36.53,0,36.53,0.0,0.0,3,22 301,1,22 ,001,01,P,,2314479,24521,01,36.53,0
